Id,Juego,Carton,Serie,Progresivo,Hora,Fecha,Usuario,ValorCarton,ValorProgresivo,Contados,Pistola,Gratis,Recuperado,Cliente,ClientePersonal
345422,1170,11823,x,0,12:04,27/03/2024,06,0,0,0,131,0,0,,
345423,1170,11204,x,0,12:04,27/03/2024,06,0,0,0,131,0,0,,
345424,1170,12486,X,0,12:05,27/03/2024,06,0,0,0,131,0,0,,
345425,1170,12572,X,0,12:05,27/03/2024,06,0,0,0,131,0,0,,
345426,1170,13067,X,0,12:05,27/03/2024,18,0,0,0,121,0,0,,
345427,1170,12874,X,0,12:05,27/03/2024,18,0,0,0,121,0,0,,
345428,1170,13125,X,0,12:05,27/03/2024,18,0,0,0,121,0,0,,
345429,1170,12974,X,0,12:05,27/03/2024,18,0,0,0,121,0,0,,
345430,1170,12905,X,0,12:05,27/03/2024,18,0,0,0,121,0,0,,
345431,1170,12904,X,0,12:05,27/03/2024,18,0,0,0,121,0,0,,
345432,1170,12940,X,0,12:05,27/03/2024,18,0,0,0,121,0,0,,
345433,1170,12897,X,0,12:05,27/03/2024,06,0,0,0,131,0,0,,
345434,1170,12914,X,0,12:05,27/03/2024,06,0,0,0,131,0,0,,
345435,1170,13006,X,0,12:05,27/03/2024,06,0,0,0,131,0,0,,
345436,1170,12915,X,0,12:05,27/03/2024,06,0,0,0,131,0,0,,
345437,1170,13669,X,0,12:05,27/03/2024,06,0,0,0,131,0,0,,
345438,1170,13584,X,0,12:05,27/03/2024,06,0,0,0,131,0,0,,
345439,1170,12961,X,0,12:05,27/03/2024,06,0,0,0,131,0,0,,
345440,1170,13080,X,0,12:05,27/03/2024,06,0,0,0,131,0,0,,
345441,1170,12923,X,0,12:05,27/03/2024,06,0,0,0,131,0,0,,
345442,1170,13052,X,0,12:05,27/03/2024,06,0,0,0,131,0,0,,
345443,1170,13071,X,0,12:05,27/03/2024,18,0,0,0,121,0,0,,
345444,1170,13038,X,0,12:05,27/03/2024,18,0,0,0,121,0,0,,
345445,1170,12788,X,0,12:05,27/03/2024,06,0,0,0,131,0,0,,
345446,1170,12579,X,0,12:05,27/03/2024,06,0,0,0,131,0,0,,
345447,1170,12495,X,0,12:05,27/03/2024,06,0,0,0,131,0,0,,
345448,1170,12926,X,0,12:05,27/03/2024,18,0,0,0,121,0,0,,
345449,1170,12613,X,0,12:05,27/03/2024,06,0,0,0,131,0,0,,
345450,1170,12863,X,0,12:05,27/03/2024,06,0,0,0,131,0,0,,
345451,1170,12797,X,0,12:05,27/03/2024,06,0,0,0,131,0,0,,
345452,1170,12552,X,0,12:05,27/03/2024,06,0,0,0,131,0,0,,
345453,1170,12489,X,0,12:05,27/03/2024,06,0,0,0,131,0,0,,
345454,1170,12646,X,0,12:05,27/03/2024,06,0,0,0,131,0,0,,
345455,1170,13194,X,0,12:05,27/03/2024,06,0,0,0,131,0,0,,
345456,1170,12684,X,0,12:05,27/03/2024,18,0,0,0,121,0,0,,
345457,1170,12871,X,0,12:05,27/03/2024,18,0,0,0,121,0,0,,
345458,1170,12456,X,0,12:05,27/03/2024,18,0,0,0,121,0,0,,
345459,1170,13077,X,0,12:05,27/03/2024,06,0,0,0,131,0,0,,
345460,1170,13053,X,0,12:05,27/03/2024,18,0,0,0,121,0,0,,
345461,1170,12962,X,0,12:06,27/03/2024,06,0,0,0,131,0,0,,
345462,1170,13116,X,0,12:06,27/03/2024,06,0,0,0,131,0,0,,
345463,1170,12828,X,0,12:06,27/03/2024,06,0,0,0,131,0,0,,
345464,1170,10148,x,0,12:06,27/03/2024,06,0,0,0,131,0,0,,
345465,1170,11826,x,0,12:06,27/03/2024,06,0,0,0,131,0,0,,
345466,1170,11758,x,0,12:06,27/03/2024,06,0,0,0,131,0,0,,
345467,1170,12326,X,0,12:06,27/03/2024,06,0,0,0,131,0,0,,
345468,1170,11499,x,0,12:06,27/03/2024,18,0,0,0,121,0,0,,
345469,1170,11724,x,0,12:06,27/03/2024,18,0,0,0,121,0,0,,
345470,1170,10717,x,0,12:06,27/03/2024,18,0,0,0,121,0,0,,
345471,1170,11214,x,0,12:06,27/03/2024,18,0,0,0,121,0,0,,
345472,1170,10224,x,0,12:06,27/03/2024,18,0,0,0,121,0,0,,
345473,1170,11169,x,0,12:06,27/03/2024,18,0,0,0,121,0,0,,
345474,1170,11916,x,0,12:06,27/03/2024,18,0,0,0,121,0,0,,
345475,1170,11054,x,0,12:06,27/03/2024,18,0,0,0,121,0,0,,
345476,1170,10949,x,0,12:06,27/03/2024,06,0,0,0,131,0,0,,
345477,1170,10040,x,0,12:06,27/03/2024,06,0,0,0,131,0,0,,
345478,1170,10818,x,0,12:06,27/03/2024,06,0,0,0,131,0,0,,
345479,1170,10965,x,0,12:06,27/03/2024,06,0,0,0,131,0,0,,
345480,1170,10077,x,0,12:06,27/03/2024,06,0,0,0,131,0,0,,
345481,1170,10366,x,0,12:06,27/03/2024,06,0,0,0,131,0,0,,
345482,1170,13666,X,0,12:06,27/03/2024,06,0,0,0,131,0,0,,
345483,1170,13780,X,0,12:06,27/03/2024,06,0,0,0,131,0,0,,
345484,1170,13024,X,0,12:06,27/03/2024,18,0,0,0,121,0,0,,
345485,1170,13677,X,0,12:06,27/03/2024,06,0,0,0,131,0,0,,
345486,1170,12858,X,0,12:06,27/03/2024,18,0,0,0,121,0,0,,
